date_set,mean_lidar_WSPD,mean_era5_WSPD,std_lidar_WSPD,std_era5_WSPD,mean_lidar_WDIR,mean_era5_WDIR,std_lidar_WDIR,std_era5_WDIR
01-Aug-2021,5.555,5.435,1.281,1.151,279.457,265.205,25.683,21.393
02-Aug-2021,6.85,7.028,1.615,1.294,278.551,272.217,11.405,10.962
03-Aug-2021,1.956,2.008,0.61,0.511,282.607,277.426,63.51,20.913
04-Aug-2021,4.151,3.375,1.343,0.751,57.058,59.996,41.074,19.378
05-Aug-2021,4.117,4.149,1.535,1.128,121.983,106.262,51.37,10.057
06-Aug-2021,5.629,5.016,2.084,1.916,158.27,159.939,35.765,19.636
07-Aug-2021,3.335,3.707,1.453,1.011,201.252,197.628,39.641,9.495
08-Aug-2021,8.961,8.682,2.264,2.531,231.975,225.123,11.302,8.472
09-Aug-2021,7.273,7.122,1.362,1.927,224.728,215.065,9.792,7.979
10-Aug-2021,5.297,4.861,1.601,1.333,256.053,236.068,44.542,26.361
11-Aug-2021,3.784,4.123,1.253,0.939,274.771,261.386,33.288,9.757
12-Aug-2021,3.809,4.213,0.815,0.938,193.134,197.057,40.853,23.731
13-Aug-2021,6.931,7.541,3.193,3.598,251.246,238.673,30.92,24.085
14-Aug-2021,7.201,7.237,1.929,2.198,251.66,239.735,25.42,21.032
15-Aug-2021,2.743,4.419,1.837,1.428,239.803,236.189,62.522,6.067
16-Aug-2021,8.573,8.26,2.007,2.224,260.187,249.195,10.985,14.387
17-Aug-2021,11.293,11.374,2.988,3.398,281.608,268.623,10.034,5.073
18-Aug-2021,9.046,9.881,2.296,2.358,274.141,267.167,8.362,10.983
19-Aug-2021,6.273,6.688,1.602,1.573,278.011,269.122,12.662,6.568
20-Aug-2021,4.046,4.071,2.052,2.033,246.083,256.926,53.804,35.997
21-Aug-2021,2.331,1.99,0.52,0.517,148.954,121.086,30.081,25.198
22-Aug-2021,5.656,5.694,1.509,1.492,109.473,100.327,13.999,16.55
23-Aug-2021,7.467,6.769,1.385,1.352,55.291,49.377,10.477,9.574
24-Aug-2021,4.033,3.907,0.734,0.903,72.6,59.846,13.444,6.515
25-Aug-2021,9.363,9.029,2.605,3.334,291.122,282.16,4.421,3.879
26-Aug-2021,6.797,6.498,1.49,1.841,343.928,337.022,12.118,6.095
27-Aug-2021,5.354,5.999,2.004,1.417,19.404,7.601,43.848,14.457
28-Aug-2021,6.134,5.645,1.476,1.927,18.282,7.232,6.03,6.286
29-Aug-2021,5.393,5.654,1.985,1.822,28.901,20.839,21.968,15.251
30-Aug-2021,5.595,6.409,1.183,1.379,28.51,27.882,9.043,5.444
31-Aug-2021,4.626,4.579,1.07,1.049,8.249,353.617,13.229,7.132
01-Sep-2021,5.413,4.347,0.824,0.894,311.901,314.433,14.701,9.479
02-Sep-2021,2.639,2.635,0.774,0.413,293.794,292.531,11.411,9.721
03-Sep-2021,6.299,5.079,0.399,0.742,297.492,291.151,7.806,5.008
04-Sep-2021,2.946,2.432,1.186,0.741,41.056,26.891,66.467,50.348
05-Sep-2021,2.832,2.533,0.773,0.587,101.834,88.757,18.748,16.479
06-Sep-2021,2.643,2.336,1.055,0.88,283.078,289.236,32.613,10.114
07-Sep-2021,1.252,0.816,0.458,0.452,72.403,343.831,88.415,24.386
08-Sep-2021,3.015,2.835,0.887,0.53,145.669,131.638,12.956,17.661
09-Sep-2021,3.687,3.435,0.868,0.766,146.305,135.866,15.454,16.63
